Agency,Site Number,Site Name,State,Hyperlink,Latitude,Longitude,Datum,Elevation (m.a.s.l.),Vertical Datum,Land surface altitude (m.a.s.l.),Land surface Datum,Drainage Area (km2),Hydrologic Unit Code,Territory
USGS,2339225,"WEHADKEE CREEK BELOW ROCK MILLS, AL",Alabama,site_no=02339225,33.12222222222222,-85.24916666666667,NAD27,197.26960800000003,NGVD29,,,155.917398,03130002,Alabama
USGS,2339495,OSELIGEE CREEK NEAR LANETT AL,Alabama,site_no=02339495,32.90138888888889,-85.19638888888889,NAD27,,,,,223.775136,03130002,Alabama
USGS,2342200,PHELPS CREEK NEAR OPELIKA AL,Alabama,site_no=02342200,32.56361111111111,-85.27666666666667,NAD27,161.544,NGVD29,,,17.2752333,03130003,Alabama
USGS,2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",Alabama,site_no=02342500,32.31666666666667,-85.015,NAD27,,,,,833.97678,03130003,Alabama
USGS,2342933,SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL,Alabama,site_no=02342933,32.0175,-85.29583333333333,NAD27,60.96,NGVD29,,,290.07887999999997,03130003,Alabama
USGS,2343000,BARBOUR CREEK NEAR EUFAULA AL,Alabama,site_no=02343000,31.863055555555558,-85.16111111111111,NAD27,43.607736,NGVD29,,,247.085046,03130003,Alabama
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",Alabama,site_no=023432415,31.622194444444446,-85.05916666666667,NAD83,,,,,19321.325399999998,03130004,Alabama
USGS,2343300,ABBIE CREEK NEAR HALEBURG AL,Alabama,site_no=02343300,31.473333333333333,-85.16250000000001,NAD27,44.421552000000005,NGVD29,,,378.13854,03130004,Alabama
USGS,2343500,"CHATTAHOOCHEE RIVER AT COLUMBIA, AL.",Alabama,site_no=02343500,31.28388888888889,-85.09583333333333,NAD27,22.015704000000003,NGVD29,,,20823.5196,03130004,Alabama
USGS,2343700,STEVENSON CREEK NEAR HEADLAND AL,Alabama,site_no=02343700,31.355,-85.18472222222222,NAD27,45.838871999999995,NGVD29,,,36.259859999999996,03130004,Alabama
USGS,2344000,"CHATTAHOOCHEE RIVER AT ALAGA, ALA",Alabama,site_no=02344000,31.116388888888892,-85.04722222222222,NAD27,19.117056,NGVD29,,,21600.5166,03130004,Alabama
USGS,2360000,WEST FORK CHOCTAWHATCHEE R AT BLUE SPRINGS AL,Alabama,site_no=02360000,31.66361111111111,-85.505,NAD27,88.160352,NGVD29,,,224.811132,03140201,Alabama
USGS,2360500,EAST FORK CHOCTAWHATCHEE R NEAR MIDLAND CITY AL,Alabama,site_no=02360500,31.373055555555556,-85.47722222222222,NAD27,54.58968,NGVD29,,,753.6870899999999,03140201,Alabama
USGS,2361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",Alabama,site_no=02361000,31.342777777777776,-85.61055555555555,NAD27,42.233088,NGVD29,,,1776.7331399999998,03140201,Alabama
USGS,2361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,Alabama,site_no=02361500,31.159166666666664,-85.78444444444445,NAD27,,,,,3315.1872,03140201,Alabama
USGS,2362000,"CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA",Alabama,site_no=02362000,31.041111111111114,-85.85222222222221,NAD27,19.14144,NGVD29,,,3486.1265399999997,03140201,Alabama
USGS,2362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",Alabama,site_no=02362240,31.272222222222222,-85.95833333333334,NAD27,,,,,55.425785999999995,03140201,Alabama
USGS,2363000,PEA RIVER NEAR ARITON AL,Alabama,site_no=02363000,31.59472222222222,-85.78305555555555,NAD27,,,,,1289.81502,03140202,Alabama
USGS,2363500,WHITEWATER CREEK AT ELBA AL,Alabama,site_no=02363500,31.415,-86.06222222222222,NAD27,,,,,815.8468499999999,03140202,Alabama
USGS,2364500,PEA RIVER NEAR SAMSON AL,Alabama,site_no=02364500,31.1125,-86.09944444444444,NAD27,,,,,3061.36818,03140202,Alabama
USGS,2364570,MUCKLEROY SPRING NEAR WHITNEY AL E 5,Alabama,site_no=02364570,31.120833333333334,-86.18694444444445,NAD27,42.672000000000004,NGVD29,,,67.857738,03140202,Alabama
USGS,2365000,PEA RIVER NEAR GENEVA AL,Alabama,site_no=02365000,31.026944444444442,-85.88388888888889,NAD27,,,,,4019.6644799999995,03140202,Alabama
USGS,2367500,LIGHTWOOD KNOT CREEK AT BABBIE AL,Alabama,site_no=02367500,31.270555555555553,-86.31361111111111,NAD27,56.388000000000005,NGVD29,,,295.25885999999997,03140103,Alabama
USGS,2367800,YELLOW RIVER NEAR WING AL,Alabama,site_no=02367800,31.01,-86.53722222222223,NAD27,29.300424,NGVD29,,,1193.9853899999998,03140103,Alabama
USGS,2369800,BLACKWATER RIVER NEAR BRADLEY AL,Alabama,site_no=02369800,31.0275,-86.71000000000001,NAD27,37.145976000000005,NGVD29,,,227.142123,03140104,Alabama
USGS,2371000,CONECUH RIVER NEAR TROY AL,Alabama,site_no=02371000,31.844444444444445,-85.99472222222222,NAD27,95.49384,NGVD29,,,665.6274299999999,03140301,Alabama
USGS,2371200,INDIAN CREEK NEAR TROY AL,Alabama,site_no=02371200,31.81388888888889,-86.12083333333332,NAD27,107.89920000000001,NGVD29,,,22.973211299999996,03140301,Alabama
USGS,2371470,"SANDY CREEK NEAR BRANTLEY, AL.",Alabama,site_no=02371470,31.59472222222222,-86.22083333333333,NAD27,,,,,11.473655699999998,03140301,Alabama
USGS,2371500,CONECUH RIVER AT BRANTLEY AL,Alabama,site_no=02371500,31.573333333333334,-86.25166666666667,NAD27,,,,,1294.995,03140301,Alabama
USGS,2372000,PATSALIGA CREEK AT LUVERNE AL,Alabama,site_no=02372000,31.724166666666665,-86.27833333333334,NAD27,81.543144,NGVD29,,,657.85746,03140302,Alabama
USGS,2372250,PATSALIGA CREEK NEAR BRANTLEY AL,Alabama,site_no=02372250,31.59611111111111,-86.40555555555557,NAD27,67.056,NGVD29,,,1144.77558,03140302,Alabama
USGS,2372422,"CONECUH RIVER BEL PT A DAM NR RIVER FALLS, AL.",Alabama,site_no=02372422,31.361111111111114,-86.51972222222223,NAD27,36.81984,NGVD29,,,3297.05727,03140301,Alabama
USGS,2372430,"CONECUH RIVER AT RIVER FALLS, ALABAMA",Alabama,site_no=02372430,31.348055555555554,-86.52944444444444,NAD27,,,,,3307.4172299999996,03140301,Alabama
USGS,2372500,CONECUH RIVER NEAR ANDALUSIA AL,Alabama,site_no=02372500,31.255277777777778,-86.60027777777778,NAD27,32.543496,NGVD29,,,3480.94656,03140301,Alabama
USGS,2373000,SEPULGA RIVER NEAR MCKENZIE AL,Alabama,site_no=02373000,31.453611111111112,-86.78694444444444,NAD27,,,,,1217.2953,03140303,Alabama
USGS,2373500,PIGEON CREEK NEAR THAD AL,Alabama,site_no=02373500,31.476666666666667,-86.65833333333335,NAD27,52.60238400000001,NGVD29,,,795.1269299999999,03140303,Alabama
USGS,2373800,SEPULGA RIVER AT BROOKLYN AL,Alabama,site_no=02373800,31.261666666666667,-86.76333333333334,NAD27,26.334720000000004,NGVD29,,,2634.0198299999997,03140303,Alabama
USGS,2374000,"CONECUH RIVER NEAR BROOKLYN, AL.",Alabama,site_no=02374000,31.16361111111111,-86.8,NAD27,23.45436,NGVD29,,,6462.025049999999,03140304,Alabama
USGS,2374250,"CONECUH RIVER AT STATE HWY 41 NEAR BREWTON, AL.",Alabama,site_no=02374250,31.066944444444445,-87.06166666666667,NAD27,13.136880000000001,NGVD29,,,6891.96339,03140304,Alabama
USGS,2374500,MURDER CREEK NEAR EVERGREEN AL,Alabama,site_no=02374500,31.418333333333333,-86.98666666666666,NAD27,,,,,455.83824,03140304,Alabama
USGS,2374660,MURDER CREEK AT KIRKLAND AL,Alabama,site_no=02374660,31.191666666666666,-87.02638888888889,NAD27,28.956000000000003,NGVD29,,,852.1067099999999,03140304,Alabama
USGS,2374700,"MURDER CREEK AT STATE HWY 41 AT BREWTON, AL.",Alabama,site_no=02374700,31.100833333333334,-87.06888888888888,NAD27,,,,,1126.64565,03140304,Alabama
USGS,2374745,"BURNT CORN CREEK AT STATE HWY 41 NEAR BREWTON, AL.",Alabama,site_no=02374745,31.129722222222224,-87.08722222222222,NAD27,,,,,471.37818,03140304,Alabama
USGS,2374950,BIG ESCAMBIA CR AT SARDINE BR NR STANLEY CROSSROAD,Alabama,site_no=02374950,31.129444444444445,-87.37055555555555,NAD27,,,,,499.86806999999993,03140305,Alabama
USGS,2375000,BIG ESCAMBIA CREEK AT FLOMATON AL,Alabama,site_no=02375000,31.010555555555555,-87.26277777777777,NAD27,14.557248,NAVD88,,,854.6967,03140305,Alabama
USGS,2377500,"STYX RIVER NEAR LOXLEY, AL.",Alabama,site_no=02377500,30.663888888888888,-87.6388888888889,NAD27,11.8872,NGVD29,,,238.797078,03140106,Alabama
USGS,2377570,"STYX RIVER NEAR ELSANOR, AL.",Alabama,site_no=02377570,30.605555555555558,-87.54722222222222,NAD27,,,,,497.27807999999993,03140106,Alabama
USGS,2377960,"BLACKWATER RIVER AT CO RD 87 NEAR ELSANOR, AL.",Alabama,site_no=02377960,30.511388888888888,-87.58166666666666,NAD27,,,,,146.593434,03140106,Alabama
USGS,2378170,"WOLF CREEK BELOW FOLEY, ALA",Alabama,site_no=02378170,30.388055555555557,-87.65277777777779,NAD27,,,,,12.8981502,03140107,Alabama
USGS,2378300,"MAGNOLIA RIVER AT US 98 NEAR FOLEY, ALABAMA",Alabama,site_no=02378300,30.406388888888888,-87.73694444444445,NAD27,,,,,42.993834,03160205,Alabama
USGS,2378500,FISH RIVER NEAR SILVER HILL AL,Alabama,site_no=02378500,30.54527777777778,-87.79861111111111,NAD27,6.096,NGVD29,,,143.22644699999998,03160205,Alabama
USGS,237854520,"FISH RIVER NEAR MARLOW, AL",Alabama,site_no=0237854520,30.474669444444444,-87.80264444444444,NAD83,0.9144000000000001,NAVD88,,,312.35279399999996,03160205,Alabama
USGS,2378780,"D'OLIVE CREEK NEAR BRIDGEHEAD, AL",Alabama,site_no=02378780,30.652069444444443,-87.88964722222222,NAD83,,,,,,,Alabama
USGS,2378790,"TIAWASEE CREEK NEAR BRIDGEHEAD, AL",Alabama,site_no=02378790,30.64278611111111,-87.89179166666668,NAD83,7.9248,NAVD88,,,,03160204,Alabama
USGS,2397530,"COOSA RIVER AT STATE LINE, AL/GA",Alabama,site_no=02397530,34.20194444444445,-85.45325,NAD83,167.48760000000001,NAVD88,,,11297.53638,03150105,Alabama
USGS,2398195,MILLS CREEK NEAR CHESTERFIELD AL,Alabama,site_no=02398195,34.446666666666665,-85.5,NAD27,,,,,24.682604699999995,03150105,Alabama
USGS,2398250,"MILLS CREEK AT DEWEY, ALABAMA",Alabama,site_no=02398250,34.3275,-85.50333333333333,NAD27,,,,,175.08332399999998,03150105,Alabama
