Agency,Site Number,Site Name,State,Hyperlink,Latitude,Longitude,Datum,Elevation (m.a.s.l.),Vertical Datum,Land surface altitude (m.a.s.l.),Land surface Datum,Drainage Area (km2),Hydrologic Unit Code,Territory
USGS,2339225,"WEHADKEE CREEK BELOW ROCK MILLS, AL",Alabama,site_no=02339225,33.12222222,-85.24916667,NAD27,197.269608,NGVD29,,,155.917398,3130002,Alabama
USGS,2339495,OSELIGEE CREEK NEAR LANETT AL,Alabama,site_no=02339495,32.90138889,-85.19638889,NAD27,,,,,223.775136,3130002,Alabama
USGS,2342200,PHELPS CREEK NEAR OPELIKA AL,Alabama,site_no=02342200,32.56361111,-85.27666667,NAD27,161.544,NGVD29,,,17.2752333,3130003,Alabama
USGS,2342500,"UCHEE CREEK NEAR FORT MITCHELL, AL.",Alabama,site_no=02342500,32.31666667,-85.015,NAD27,,,,,833.97678,3130003,Alabama
USGS,2342933,SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL,Alabama,site_no=02342933,32.0175,-85.29583333,NAD27,60.96,NGVD29,,,290.07888,3130003,Alabama
USGS,2343000,BARBOUR CREEK NEAR EUFAULA AL,Alabama,site_no=02343000,31.86305556,-85.16111111,NAD27,43.607736,NGVD29,,,247.085046,3130003,Alabama
USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",Alabama,site_no=023432415,31.62219444,-85.05916667,NAD83,,,,,19321.3254,3130004,Alabama
USGS,2343300,ABBIE CREEK NEAR HALEBURG AL,Alabama,site_no=02343300,31.47333333,-85.1625,NAD27,44.421552,NGVD29,,,378.13854,3130004,Alabama
USGS,2343500,"CHATTAHOOCHEE RIVER AT COLUMBIA, AL.",Alabama,site_no=02343500,31.28388889,-85.09583333,NAD27,22.015704,NGVD29,,,20823.5196,3130004,Alabama
USGS,2343700,STEVENSON CREEK NEAR HEADLAND AL,Alabama,site_no=02343700,31.355,-85.18472222,NAD27,45.838872,NGVD29,,,36.25986,3130004,Alabama
USGS,2344000,"CHATTAHOOCHEE RIVER AT ALAGA, ALA",Alabama,site_no=02344000,31.11638889,-85.04722222,NAD27,19.117056,NGVD29,,,21600.5166,3130004,Alabama
USGS,2360000,WEST FORK CHOCTAWHATCHEE R AT BLUE SPRINGS AL,Alabama,site_no=02360000,31.66361111,-85.505,NAD27,88.160352,NGVD29,,,224.811132,3140201,Alabama
USGS,2360500,EAST FORK CHOCTAWHATCHEE R NEAR MIDLAND CITY AL,Alabama,site_no=02360500,31.37305556,-85.47722222,NAD27,54.58968,NGVD29,,,753.68709,3140201,Alabama
USGS,2361000,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",Alabama,site_no=02361000,31.34277778,-85.61055556,NAD27,42.233088,NGVD29,,,1776.73314,3140201,Alabama
USGS,2361500,CHOCTAWHATCHEE RIVER NEAR BELLWOOD AL,Alabama,site_no=02361500,31.15916667,-85.78444444,NAD27,,,,,3315.1872,3140201,Alabama
USGS,2362000,"CHOCTAWHATCHEE RIVER NEAR GENEVA, ALABAMA",Alabama,site_no=02362000,31.04111111,-85.85222222,NAD27,19.14144,NGVD29,,,3486.12654,3140201,Alabama
USGS,2362240,"LITTLE DOUBLE BRIDGES CREEK NR ENTERPRISE, AL.",Alabama,site_no=02362240,31.27222222,-85.95833333,NAD27,,,,,55.425786,3140201,Alabama
USGS,2363000,PEA RIVER NEAR ARITON AL,Alabama,site_no=02363000,31.59472222,-85.78305556,NAD27,,,,,1289.81502,3140202,Alabama
USGS,2363500,WHITEWATER CREEK AT ELBA AL,Alabama,site_no=02363500,31.415,-86.06222222,NAD27,,,,,815.84685,3140202,Alabama
USGS,2364500,PEA RIVER NEAR SAMSON AL,Alabama,site_no=02364500,31.1125,-86.09944444,NAD27,,,,,3061.36818,3140202,Alabama
USGS,2364570,MUCKLEROY SPRING NEAR WHITNEY AL E 5,Alabama,site_no=02364570,31.12083333,-86.18694444,NAD27,42.672,NGVD29,,,67.857738,3140202,Alabama
USGS,2365000,PEA RIVER NEAR GENEVA AL,Alabama,site_no=02365000,31.02694444,-85.88388889,NAD27,,,,,4019.66448,3140202,Alabama
USGS,2367500,LIGHTWOOD KNOT CREEK AT BABBIE AL,Alabama,site_no=02367500,31.27055556,-86.31361111,NAD27,56.388,NGVD29,,,295.25886,3140103,Alabama
USGS,2367800,YELLOW RIVER NEAR WING AL,Alabama,site_no=02367800,31.01,-86.53722222,NAD27,29.300424,NGVD29,,,1193.98539,3140103,Alabama
USGS,2369800,BLACKWATER RIVER NEAR BRADLEY AL,Alabama,site_no=02369800,31.0275,-86.71,NAD27,37.145976,NGVD29,,,227.142123,3140104,Alabama
USGS,2371000,CONECUH RIVER NEAR TROY AL,Alabama,site_no=02371000,31.84444444,-85.99472222,NAD27,95.49384,NGVD29,,,665.62743,3140301,Alabama
